,Article_Text,Web_Page_No,Article_URL,Matchd_words,ORG,Money,Other,Dates
45,"Community Foundation of Louisville: COVID-19 Response Fund
Application Deadline:
none
Geographic Scope: Kentucky
Geographic Focus: greater Louisville  
The Community Foundation of Louisville’s COVID-19 Response Fund offers funding to provide services to individuals most impacted by the COVID-19 pandemic and fill gaps for nonprofits providing critical services while facing loss of revenue due to event cancellations, lack of volunteers to assist with providing services, lack of access to necessary supplies, and lack of equipment to comply with public health measures designed to slow the spread of COVID-19, including remote work and social distancing.
Date Added:
April 15, 2020",2,https://www.cflouisville.org/one-louisville/, fund| fund| fund,Community Foundation|Response Fund,,Louisville|Kentucky|Louisville,"April 15, 2020"
46,"Community Foundation of Marquette County: COVID-19 Community Response Fund
Application Deadline:
none
Geographic Scope: Michigan
Geographic Focus: Marquette County
The Community Foundation of Marquette County and the United Way of Marquette County have teamed up to deploy the Covid-19 Community Response Fund. Through this Fund, we are accepting requests for short-term funding to support operations of organizations that are struggling with immediate lost revenue and non-recoverable expenses due to COVID-19.
Date Added:
March 31, 2020",2,http://cfofmc.org/covid-19-community-response-fund-application/, fund| fund| fund| fund,Community Foundation of|Community Response Fund|The Community Foundation of Marquette County|Community Response Fund,,Marquette County|Michigan|Marquette County|the United Way|Marquette County,"March 31, 2020"
47,"Community Foundation of North Central Wisconsin: COVID-19 Community Response Fund
Application Deadline:
none
Geographic Scope: Wisconsin
Geographic Focus: North Central Wisconsin
The COVID-19 Community Response Fund will provide flexible funding for organizations working in the Foundation’s community who are disproportionately impacted by the coronavirus and the economic consequences of the outbreak. This Fund is designed to expand local capacity to address the effects on individuals and families as a result of the outbreak as efficiently as possible.
Date Added:
March 31, 2020",2,https://cfoncw.org/2020/03/16/3488/, fund| fund| fund| fund,Community Foundation of North Central Wisconsin|Community Response Fund|Community Response Fund|Foundation,,Wisconsin|North Central Wisconsin,"March 31, 2020"
48,"Community Foundation of Northern Colorado: Northern Colorado COVID-19 Response Fund
Application Deadline:
none
Geographic Scope: Colorado
Geographic Focus: Larimer County
The Northern Colorado COVID-19 Response Fund will be distributed to nonprofit organizations throughout Larimer County through the course of the crisis. The goal is to move resources quickly and adapt to evolving needs.
Date Added:
March 23, 2020",2,https://www.nocofoundation.org/covid-19, fund| fund,Community Foundation of Northern Colorado|Response Fund,,Northern Colorado|Colorado|Larimer County|The Northern Colorado|Larimer County,"March 23, 2020"
49,"Community Foundation of Northern Ireland: Coronavirus Community Fund
Application Deadline:
none
Geographic Scope: Northern Ireland
The Community Foundation of Northern Ireland’s Coronavirus Community Fund supports community organizations throughout Northern Ireland who are supporting isolated older people at the time of the COVID-19 outbreak.
Date Added:
March 19, 2020",2,https://communityfoundationni.org/grants/coronavirus-community-fund/, fund| fund,Community Foundation of Northern Ireland|Coronavirus Community Fund|The Community Foundation of Northern Ireland|Coronavirus Community Fund,,Northern Ireland|Northern Ireland,"March 19, 2020"
50,"Community Foundation of Northern Virginia: COVID-19 Response Fund for Northern Virginia
Application Deadline:
none
Geographic Scope: Virginia
Geographic Focus: Northern Virginia
The COVID-19 Response Fund for Northern Virginia will award block operating grants to local nonprofits with deep roots in the community and strong experience working with the most vulnerable neighbors. (The Foundation is not implementing a formal application process at this time. Interested organizations may email the Foundation ensure the Foundation is are aware of the organization’s needs, both external and internal.)
Date Added:
March 24, 2020",2,https://www.cfnova.org/community-leadership/covid-19-response-fund-for-northern-virginia, fund| fund,Community Foundation of Northern Virginia|The COVID-19 Response Fund for|Foundation|Foundation|Foundation,,Virginia|Northern Virginia,"March 24, 2020"
51,"Community Foundation of Orange and Sullivan: COVID-19 Response Fund
Application Deadline:
none
Geographic Scope: New York
Geographic Focus: Orange and Sullivan counties
The COVID-19 Response Fund aims to address immediate and longer-term needs of residents in Orange and Sullivan counties. The Fund will issue grants to established nonprofit organizations that provide front-line services to the most vulnerable populations – food for the neediest families and essentials, such as prescription drug deliveries to homebound senior citizens and people with compromised immune systems.
Date Added:
March 26, 2020",2,https://cfosny.org/covid-19-response-fund/, fund| fund| fund,Community Foundation of Orange|Sullivan|Sullivan,,Sullivan|New York|Orange,"March 26, 2020"
52,"Community Foundation of San Joaquin: San Joaquin Emergency Response Fund and Stockton Children’s Fund
Application Deadline:
none
Geographic Scope: California
Geographic Focus: Calaveras and San Joaquin counties
The Community Foundation of San Joaquin is providing COVID-19 related funding through two programs. The San Joaquin Emergency Response Fund is focused on supporting nonprofit organizations serving the most vulnerable populations and providing financial assistance to individuals and families most directly impacted by COVID-19. The Stockton Children’s Fund aims to mitigate the disruptive effects caused by the COVID-19 health crisis in the City of Stockton related to food insecurity, childcare services for essential workers, and education challenges resulting from school closures.
Date Added:
April 3, 2020",2,https://cfosj.org/covid-19-response/, fund| fund| fund| fund| fund,"Community Foundation of San Joaquin|Stockton Children’s Fund|California
Geographic Focus|The Community Foundation of San Joaquin|The Stockton Children’s Fund",,San Joaquin Emergency Response Fund|Calaveras|San Joaquin|two|The San Joaquin Emergency Response Fund|the City of Stockton,"April 3, 2020"
53,"Community Foundation of South Jersey: South Jersey COVID-19 Response Fund
Application Deadline:
none
Geographic Scope: New Jersey
Geographic Focus: Atlantic, Burlington, Camden, Cape May, Cumberland, Gloucester, Ocean, and Salem counties
The South Jersey COVID-19 Response Fund will support nonprofit organizations providing critical services tied directly to the economic security of South Jersey residents. Funds will be released on a rolling basis as fundraising continues throughout the outbreak and recovery phases of the crisis.
Date Added:
April 23, 2020",2,https://www.communityfoundationsj.org/south-jersey-covid-19-response-fund-an-economic-relief-and-recovery-strategy/, fund| fund| fund| fund,Community Foundation of South Jersey|Response Fund,,South Jersey|New Jersey|Atlantic|Burlington|Camden|Cape May|Cumberland|Gloucester|Ocean|Salem|The South Jersey|South Jersey,"April 23, 2020"
54,"Community Foundation of Southeastern Massachusetts: SouthCoast Emergency Response Fund
Application Deadline:
none
Geographic Scope: Massachusetts
Geographic Focus: Southeastern Massachusetts
The SouthCoast Emergency Response Fund will provide flexible resources to organizations that are working with communities at the intersection of being most vulnerable to the COVID-19 virus and most impacted by inequity.
Date Added:
March 24, 2020",2,https://www.cfsema.org/about-us/covid-19-news-resources, fund| fund,Community Foundation of Southeastern Massachusetts|SouthCoast Emergency Response Fund|The SouthCoast Emergency Response Fund,,Massachusetts|Massachusetts,"March 24, 2020"
55,"Community Foundation of St. Clair County : COVID-19 Thumbcoast Regional Response Fund
Application Deadline:
none
Geographic Scope: Michigan
Geographic Focus: Macomb and St. Clair Counties
The COVID-19 Thumbcoast Regional Response Fund is designed to give added support to those organizations on the front lines of caring for and assisting vulnerable populations, and those communities where the loss of jobs and benefits, or the closure of institutions and businesses, are creating a significant new burden for community members and the social service organizations that provide a safety net for them.
Date Added:
March 31, 2020",2,http://www.stclairfoundation.org/news/more/covid_19_thumbcoast_regional_response_fund, fund| fund,Community Foundation,,St. Clair County|Michigan|Macomb|St. Clair Counties,"March 31, 2020"
56,"Community Foundation of Tampa Bay: COVID-19 Nonprofit Needs
Application Deadline:
none
Geographic Scope: Florida
Geographic Focus: The Five-County Region of Tampa Bay
COVID-19 Nonprofit Needs is not a competitive grant process. It is an innovative way to share specific needs with the Foundation, their fundholders, as well as other philanthropists in the Tampa Bay community. After completing the simplified Nonprofit Needs Request Form, the organization’s needs will be included within a database of requests from the community. If the nonprofit’s request is matched with a donation, the Foundation will notify the organization and transmit funds to address the request as quickly as possible.
Date Added:
March 31, 2020",2,https://cftampabay.org/nonprofitneed/, fund| fund,Community Foundation|Nonprofit Needs|Nonprofit Needs|Foundation|Tampa Bay|Nonprofit Needs Request Form|Foundation,,Tampa Bay|Florida|Five|Tampa Bay,"March 31, 2020"
57,"Community Foundation of the Ozarks: COVID-19 Response and Recovery Fund Grant Program
Application Deadline:
none
Geographic Scope: Missouri
Geographic Focus: Central and Southern Missouri
The COVID-19 Response and Recovery Fund Grant Program will award grants on an ongoing basis to agencies across the Foundation’s 58-county service area of central and southern Missouri. Current grantmaking priorities are for programs that serve vulnerable populations affected by the COVID-19 outbreak.
Date Added:
March 31, 2020",2,https://www.cfozarks.org/covid19-response-recovery-fund, fund| fund,Community Foundation of the|Response|Foundation,,Ozarks|Missouri|Missouri|Missouri,"March 31, 2020"
58,"Community Foundation of the Texas Hill Country: Hill Country Strong
Application Deadline:
none
Geographic Scope: Texas
Geographic Focus:  Bandera, Blanco, Edwards, Gillespie, Kendall, Kerr, Kimble, Mason, Real, and Uvalde  
Hill Country Strong is an emergency response fund addressing economic impacts of the COVID-19 outbreak. It provides organizations unrestricted grants to meet local needs, particularly to families with school-aged children; those who have lost their job due to the outbreak; those working as first responders, in healthcare, and in other essential services; those working with the elderly; and economically vulnerable populations.
Date Added:
April 15, 2020",2,https://www.communityfoundation.net/donate-2/hill-country-strong-fund/, fund,"Community Foundation|the Texas Hill Country:|Bandera|Edwards|Kimble|Mason|Uvalde  
",,Texas|Blanco|Gillespie|Kendall|Kerr|first,"April 15, 2020"
59,"Community Foundation of Tompkins County: COVID-19 Response Fund
Application Deadline:
none
Geographic Scope: New York
Geographic Focus: Tompkins County
The Community Foundation of Tompkins County’s COVID-19 Response Fund provides flexible resources to basic needs nonprofit organizations in the region and works within local communities to address how they and their participants are impacted by this crisis.
Date Added:
April 15, 2020",2,https://www.cftompkins.org/news-and-events/news/2020/03/now-accepting-grant-request-to-covid-19-response-fund/, fund| fund,Community Foundation of Tompkins County|Geographic Focus|The Community Foundation of Tompkins County|Response Fund,,New York,"April 15, 2020"
60,"Community Foundation of Western Massachusetts: COVID-19 Response Fund for the Pioneer Valley
Application Deadline:
none
Geographic Scope: Massachusetts
Geographic Focus: Pioneer Valley region
The COVID-19 Response Fund for the Pioneer Valley will provide flexible resources to organizations that are working with communities at the intersection of being most vulnerable to the virus and most impacted by inequity. (In order to move resources quickly, the Foundation is not hosting a formal application process at this time. However, the Foundation does want to know how the crisis is affecting your organization and the constituencies you serve.)
Date Added:
March 24, 2020",2,http://communityfoundation.org/about-the-covid-19-response-fund-for-the-pioneer-valley/, fund| fund,Community Foundation of Western Massachusetts|The COVID-19 Response Fund|Foundation|Foundation,,Massachusetts|Pioneer Valley|the Pioneer Valley,"March 24, 2020"
61,"Community Foundation of Western Pennsylvania and Eastern Ohio: COVID-19 Community Impact Funds
Application Deadline:
none
Geographic Scope: Ohio,Pennsylvania
Focus: Trumbull County, OH, and Lawrence and Mercer counties, PA
The COVID-19 Community Impact Funds support organizations that serve either Lawrence or Mercer counties, PA or Trumbull County, OH. Funding priorities include hunger, shelter/housing, mental health, access to health services, and assistance to programs that do not have access to government funding.
Date Added:
April 3, 2020",2,http://comm-foundation.org/covid-19/, fund| fund| fund| fund,Community Foundation of Western Pennsylvania|Lawrence|Lawrence,,Eastern Ohio|Ohio|Pennsylvania|Trumbull County|Mercer|Mercer|Trumbull County,"April 3, 2020"
62,"CommunityGiving
Application Deadline:
none
Geographic Scope: Minnesota
Geographic Focus: Alexandria, Brainerd, Carver County, the greater St. Cloud area, Willmar
CommunityGiving unites foundations in Alexandria, Brainerd, Carver County, the greater St. Cloud area, Willmar and beyond under a single framework to create efficiencies that maximize the impact of donors. CommunityGiving is offering a number of COVID-19 response funds to address needs in these areas.
Date Added:
April 3, 2020",2,https://www.communitygiving.org/grants, fund,CommunityGiving|Willmar|CommunityGiving|Willmar|CommunityGiving,,Minnesota|Alexandria|Brainerd|Carver County|St. Cloud|Alexandria|Brainerd|Carver County|St. Cloud,"April 3, 2020"
63,"Connecticut Community Foundation: COVID-19 Response Fund
Application Deadline:
none
Geographic Scope: Connecticut
Geographic Focus: Greater Waterbury and the Litchfield Hills
The COVID-19 Response Fund supports frontline community organizations that meet the basic needs of local residents in Greater Waterbury and the Litchfield Hills. The Fund’s focus is on organizations serving high need, economically vulnerable populations. Requests for funding will be considered and released on a rolling basis.
Date Added:
April 21, 2020",2,https://www.northwestcf.org/grants/, fund| fund| fund| fund,Connecticut Community Foundation|The COVID-19 Response Fund|Fund,,Connecticut|the Litchfield Hills|Greater Waterbury|the Litchfield Hills,"April 21, 2020"
64,"ConvertKit: The Creator Fund
Application Deadline:
none
Geographic Scope: USA
The Creator Fund provides financial assistance to active creators who are experiencing financial hardship due to COVID-19. The Fund covers medical, childcare, housing, or grocery needs. 
Date Added:
March 27, 2020",2,https://creatorfund.ck.page/, fund| fund| fund,ConvertKit|The Creator Fund|The Creator Fund|Fund,,,"March 27, 2020"
65,"County United Way: COVID-19 Emergency Response Fund
Application Deadline:
none
Geographic Scope: West Virginia
Geographic Focus: Allegany and Garrett counties, MD, and Mineral and Hampshire counties, WV
The County United Way’s COVID-19 Emergency Response Fund is providing microgrants to local nonprofits in the social services sector, including those that provide basic needs like food, clothing, shelter, utility and rent assistance, and prescription and medical co-pays.
Date Added:
April 17, 2020",2,https://cuw.org/covid-19-response/, fund| fund,County United Way|Garrett|MD|Hampshire|WV|Emergency Response Fund,,West Virginia|Mineral|The County United Way’s,"April 17, 2020"
66,"COVID-19 Response and Recovery Fund for Idaho
Application Deadline:
none
Geographic Scope: Idaho
The COVID-19 Response and Recovery Fund for Idaho—established by the Idaho Community Foundation, United Ways in Idaho, and Idaho Nonprofit Center—provides grants to assist low-income Idahoans impacted by COVID-19. Immediate priorities include services focusing on housing stability, economic stability, food insecurity, and childcare.
Date Added:
April 16, 2020",2,https://www.unitedwaytv.org/covid-19-response-and-recovery-fund-idaho, fund| fund,Response and Recovery Fund|the Idaho Community Foundation|United Ways|Idaho Nonprofit Center,,Idaho|Idaho|Idaho|Idahoans,"April 16, 2020"
67,"COVID-19 Response Fund for the St. Croix Valley
Application Deadline:
none
Geographic Scope: Minnesota,Wisconsin
Geographic Focus: Chisago and Washington counties, MN, and Burnett, Pierce, Polk and St. Croix counties, WI
The St. Croix Valley Foundation, United Way St. Croix Valley, and United Way Washington County East have partnered to establish the COVID-19 Response Fund for the St. Croix Valley. The Fund will support community organizations responding to COVID-19, with a focus on organizations working to meet the basic needs of those in our region most significantly impacted by this crisis.
Date Added:
April 23, 2020",2,https://www.scvfoundation.org/covid-19-form-nonprofits, fund| fund| fund,"COVID-19 Response Fund|MN|Burnett, Pierce|WI|The St. Croix Valley Foundation|the COVID-19 Response Fund|Fund",,Minnesota|Wisconsin|Chisago|Washington|Polk|St. Croix|United Way St. Croix Valley|United Way|Washington County,"April 23, 2020"
68,"DataValidation: COVID-19 Relief Fund
Application Deadline:
none
Geographic Scope: Global
The COVID-19 Relief Fund is a $1M relief fund in DataValidation services that supports small and medium sized businesses impacted by the COVID-19 pandemic. Nonprofit, healthcare, or public institutions that are engaged serving the public may receive a free DataValidation account for the next six months. Support may also be available to businesses with less than 25 employees or companies in a business sector that is currently being impacted by the COVID19 pandemic (restaurants and hospitality, retail, travel and leisure, entertainment, health and beauty, wellness, etc) regardless of the size of the business.
Date Added:
April 6, 2020",2,https://blog.datavalidation.com/covid19/, fund| fund| fund,Relief Fund|DataValidation,1,DataValidation|less than 25|COVID19,"the next six months|April 6, 2020"
69,"Davie Community Foundation: Davie County COVID-19 Response Fund
Application Deadline:
none
Geographic Scope: North Carolina
Geographic Focus: Davie County
The Davie County COVID-19 Response Fund aims to help combat the immediate needs created by the coronavirus and support nonprofit organizations who find themselves on the front lines. Grant funds may be used for organizational capacity or direct services for the children and families they serve.
Date Added:
March 31, 2020",2,https://www.daviefoundation.org/davie-county-covid-19-response-fund/, fund| fund| fund,Davie Community Foundation,,Davie County|North Carolina|The Davie County,"March 31, 2020"
70,"Delaware Community Foundation: COVID-19 Strategic Response Fund
Application Deadline:
every Monday
Geographic Scope: Delaware
The Delaware Community Foundation’s COVID-19 Strategic Response Fund is structured to help Delaware-serving 501(c)(3) organizations address a broad range of community needs.
Date Added:
April 15, 2020",2,https://www.delcf.org/covid-grants/, fund| fund,Delaware Community Foundation|Strategic Response Fund|The Delaware Community Foundation|Strategic Response Fund,,Delaware|Delaware,"Monday|April 15, 2020"
71,"Denver Arts & Venues: Colorado Artist Relief Fund
Application Deadline:
none
Geographic Scope: Colorado
Geographic Focus: Denver
The Colorado Artist Relief Fund will provide grants of up to $1,000 to individual Colorado artists whose incomes are being adversely affected due to cancellation of events, classes, performances, and other creative work.
Date Added:
April 1, 2020",2,http://www.artsandvenuesdenver.com/about-imagine-2020/imagine-2020-artist-assistance-fund/#Application, fund| fund,Denver Arts & Venues|Colorado Artist Relief Fund|The Colorado Artist Relief Fund,"up to $1,000",Colorado|Denver|Colorado,"April 1, 2020"
72,"Duluth Superior Area Community Foundation: COVID-19 Funding
Application Deadline:
none
Geographic Scope: Minnesota,Wisconsin
Geographic Focus: Northeast Minnesota and Northwest Wisconsin
The Duluth Superior Area Community Foundation is offering several COVID-19 funding opportunities, including the COVID-19 Northeast Minnesota Response Fund, COVID-19 Northwest Wisconsin Response Fund, Community Opportunity Fund, and Knight Foundation COVID-19 Response Fund (focused on Duluth).
Date Added:
April 3, 2020",2,https://www.dsacommunityfoundation.org/announcing-covid-19-funding, fund| fund| fund| fund| fund| fund,Northeast Minnesota Response Fund|Northwest Wisconsin Response Fund|Community Opportunity Fund|Knight Foundation|Response Fund,,Duluth Superior|Minnesota|Wisconsin|Northeast Minnesota|Northwest Wisconsin|The Duluth Superior Area Community Foundation|Duluth,"April 3, 2020"
73,"East Bay Community Foundation: COVID-19: A Just East Bay Response Fund
Application Deadline:
none
Geographic Scope: California
Geographic Focus: The East Bay
COVID-19: A Just East Bay Response Fund will rapidly deploy resources to organizations addressing the economic impact of the broader COVID-19 outbreak, including the immediate needs of communities and organizations affected by coronavirus-related closures. There is no Request for Proposals (RFP) or application process. Interested organizations may contact the Foundation via email if they feel they meet the grant criteria.
Date Added:
March 31, 2020",2,https://www.ebcf.org/covid-19-fund/, fund| fund,East Bay Community Foundation|Just East Bay Response Fund|no Request for Proposals|RFP|Foundation,,California|The East Bay,"March 31, 2020"
74,"East Tennessee Foundation: Neighbor to Neighbor Disaster Relief Fund
Application Deadline:
none
Geographic Scope: Tennessee
Geographic Focus: East Tennessee
The Neighbor to Neighbor Disaster Relief Fund provides timely disaster grants to nonprofit organizations in the Foundation’s 25-county region in East Tennessee. The Fund seeks to provide emergency funds to nonprofit organizations to meet some of the critical needs created by COVID-19.
Date Added:
March 31, 2020",2,http://www.easttennesseefoundation.org/scholarships-grants/grants/competitive-grants-and-loans-by-name/neighbor-to-neighbor-disaster-relief-fund, fund| fund| fund| fund,East Tennessee Foundation|Neighbor Disaster Relief Fund|Foundation,,Tennessee|East Tennessee|East Tennessee,"March 31, 2020"
75,"Eau Claire Community Foundation: Quick Response Community Fund
Application Deadline:
none
Geographic Scope: Wisconsin
Geographic Focus: Eau Claire area
The Quick Response Community Fund will provide flexible and rapid resources to Eau Claire area nonprofits working with those who are disproportionately impacted by COVID-19 and its economic consequences.
Date Added:
March 31, 2020",2,https://eccfwi.org/opportunities/quick-response-emergency-fund-updated-information/, fund| fund,Eau Claire Community Foundation|Eau Claire|The Quick Response Community Fund|Eau Claire,,Wisconsin,"March 31, 2020"
76,"El Dorado Community Foundation: Coronavirus Relief Fund
Application Deadline:
none
Geographic Scope: California
Geographic Focus: El Dorado County, CA
The Coronavirus Relief Fund provides financial support for basic human needs to residents on the western slope of El Dorado County. Basic human needs include food, water, shelter, and clothing, and must be a direct result of sheltering in place or the inability to work or receive pay due to the coronavirus. Applications are accepted from nonprofits, agencies, and individual residents.
Date Added:
April 6, 2020",2,https://eldoradocf.org/coronavirus-relief-fund-apply-for-support/, fund| fund,"El Dorado Community Foundation|Coronavirus Relief Fund|California
Geographic Focus|CA|The Coronavirus Relief Fund",,El Dorado County|El Dorado County,"April 6, 2020"
77,"Equal Sound Corona Relief Fund
Application Deadline:
none
Geographic Scope: USA
The Equal Sound Corona Relief Fund provides direct financial assistance to musicians in the U.S. who have lost work as a result of Corona-related event cancellations. The Fund will pay out a maximum of $500 per gig on a first-come, first-served basis.
Date Added:
March 27, 2020",2,https://equalsound.org/project/corona-relief-fund/, fund| fund| fund,Corona|Fund,500,U.S.|first|first,"March 27, 2020"
78,"Evanston Community Foundation: Evanston Community Rapid Response Fund
Application Deadline:
none
Geographic Scope: Illinois
Geographic Focus: Evanston
The Evanston Community Rapid Response Fund seeks to address the impact of the novel coronavirus COVID-19 in the Evanston community. In order to move resources quickly, the Foundation is not hosting a formal application process for the Fund at this time. Instead, the Foundation asks that organizations complete the survey to share information about their current needs so that they can determine the most optimal deployment of the funds.
Date Added:
March 31, 2020",2,https://evanstonforever.org/giving/evanston-community-rapid-response-fund/, fund| fund| fund| fund,"Evanston Community Foundation|Evanston Community Rapid Response Fund|Illinois
Geographic Focus|Foundation|Foundation",,Evanston|Evanston,"March 31, 2020"
79,"Facebook for Business: Small Business Grants Program
Application Deadline:
varies by location
Geographic Scope: USA
Geographic Focus: communities where Facebook operates
The Facebook for Business Small Business Grants Program is offering $100 million in cash grants and ad credits to help small business, including funds to keep workforces going strong, help with rent costs, connect with more customers, and cover operational costs. Eligible businesses must be for-profit companies, have between 2 and 50 employees, have been in business for over a year, have experienced challenges from COVID-19, and be in or near a location where Facebook operates.
Date Added:
April 16, 2020",2,https://www.facebook.com/business/boost/grants, fund,Facebook|Facebook,$100 million,The Facebook for Business Small Business Grants Program|between 2 and 50,"over a year|April 16, 2020"
80,"Fairfield County's Community Foundation: Fairfield County COVID-19 Resiliency Fund
Application Deadline:
none
Geographic Scope: Connecticut
Geographic Focus: Fairfield County
The COVID-19 Resiliency Fund supports nonprofit organizations that meet the basic needs of local residents in Fairfield County. The Fund’s purpose is to help alleviate the social and economic consequences of this global pandemic and to prevent the widening of disparities in education, employment, housing, and health. Applications will be reviewed on a rolling basis.
Date Added:
April 21, 2020",2,https://fccfoundation.org/COVID19ResiliencyFund/, fund| fund| fund,Community Foundation|Resiliency Fund|Resiliency Fund,,Fairfield County's|Fairfield County|Connecticut|Fairfield County|Fairfield County,"April 21, 2020"
81,"Fargo-Moorhead Area Foundation: COVID-19 Community Response Fund Grants
Application Deadline:
none
Geographic Scope: North Dakota,Minnesota
Geographic Focus: Clay County, MN, and Cass County, ND
The Fargo-Moorhead Area Foundation's COVID-19 Community Response Fund Grants support nonprofit organizations directly involved in addressing needs in Cass-Clay, particularly for vulnerable populations, such as people experiencing homelessness, people with low incomes, people with physical and mental disabilities, senior citizens, people with limited English proficiency, people facing hardships due to lost or reduced work, etc., and organizations developing community well-being for coping and healing, including youth development and mental health services.
Date Added:
April 16, 2020",2,https://areafoundation.org/nonprofits/grant-rounds/community-response-fund/, fund| fund,Fargo-Moorhead Area Foundation|Community Response Fund Grants|The Fargo-Moorhead Area Foundation's|Community Response Fund Grants|Cass-Clay,,North Dakota|Minnesota|Clay County|MN|Cass County|ND|English,"April 16, 2020"
82,"Food Animal Concerns Trust: Emergency Mini-Grants for Livestock and Poultry Farmers
Application Deadline:
none
Geographic Scope: USA
Emergency Mini-Grants for Livestock and Poultry Farmers of up to $500 will be awarded to livestock and poultry farmers who are experiencing hardship due to the COVID-19 pandemic. Farmers can request support for materials, services or equipment that would help them to transition to an online or alternative sales strategy (e.g. home delivery, on-farm sales), or for other projects that would help their farm business to maintain sales during the COVID-19 pandemic. Grants will be awarded on a rolling basis to eligible farmers until funding is depleted, after which time farmers will be placed on a wait-list in the event that additional funding becomes available.
Date Added:
April 7, 2020",2,https://foodanimalconcernstrust.org/minigrants, fund| fund,,up to $500,,"April 7, 2020"
83,"Format: The Photographer Fund
Application Deadline:
none
Geographic Scope: Global
The Photographer Fund aims to help self-employed photographers who are facing financial hardships due to COVID-19. Assistance of up to $500 per person is provided.
Date Added:
April 7, 2020",2,https://www.format.com/photographer-fund, fund| fund,The Photographer Fund,up to $500,,"April 7, 2020"
84,"Foundation for Appalachian Ohio: Appalachian Ohio Emergency Response Fund
Application Deadline:
none
Geographic Scope: Ohio
Geographic Focus: Appalachian Ohio
The Appalachian Ohio Emergency Response Fund makes grant awards to help nonprofit organizations in Appalachian Ohio whose resources are, and will continue to be, strained because of the COVID-19 crisis and need to expand and modify how they deliver services. Nonprofit organizations may share their needs by sending an email to the Foundation at listening@ffao.org.
Date Added:
April 16, 2020",2,https://www.appalachianohio.org/grow/funds/fund-profiles/coronavirus/, fund| fund,Appalachian Ohio Emergency Response Fund|Foundation,,Appalachian|Ohio|Ohio|Appalachian|Ohio,"April 16, 2020"
85,"Foundation for MetroWest: Feed Framingham COVID-19 Fund
Application Deadline:
none
Geographic Scope: Massachusetts
Geographic Focus: Framingham
The Foundation for MetroWest’s Feed Framingham COVID-19 Fund provides critical financial support to nonprofit organizations who are helping to ensure access to food and basic hygiene necessities to vulnerable populations across the city.
Date Added:
April 21, 2020",2,https://foundationmw.org/receive/guidelinesff/, fund| fund,MetroWest|Foundation|MetroWest|Feed Framingham COVID-19 Fund,,Massachusetts,"April 21, 2020"
86,"Foundation for the Carolinas: COVID-19 Response Fund
Application Deadline:
none
Geographic Scope: North Carolina
Geographic Focus: Mecklenburg County
The COVID-19 Response Fund supports Mecklenburg County organizations offering programming and services for residents.
Date Added:
April 1, 2020",2,https://uwcentralcarolinas.org/grants/COVID#page-block-xvwpzun6lts, fund| fund,,,Carolinas|North Carolina|Mecklenburg County|Mecklenburg County,"April 1, 2020"
87,"Foundation of Greater Montréal: COVID-19 Collective Fund
Application Deadline:
none
Geographic Scope: Quebec
Geographic Focus: Montreal
The COVID-19 Collective Fund at the Foundation of Greater Montréal provides support for priority needs in the healthcare, education, culture, environment, or social development sectors, particularly those of children or vulnerable persons. Strategic projects aiming to improve the immediate situation and planning the recovery and reconstruction in the aftermath of the crisis will also be supported.
Date Added:
April 20, 2020",2,https://fgmtl.org/en/covid19.php, fund| fund,"Foundation of Greater Montréal: COVID-19 Collective Fund
Application Deadline|Quebec
Geographic Focus|Collective Fund|the Foundation of Greater Montréal",,Montreal,"April 20, 2020"
